participant_id,block,trial,time,type,mtr_auto,gauge1_level,gauge1_oob,gauge1_reset,gauge2_level,gauge2_oob,gauge2_reset,gauge3_level,gauge3_oob,gauge3_reset,gauge4_level,gauge4_oob,gauge4_reset,total_oob,total_reset,mtr_rxn_time,nav_auto,uav1_moving,uav1_idle,uav1_fuel,uav1_patha_length,uav1_patha_stormchance,uav1_pathb_length,uav1_pathb_stormchance,uav1_onpath,uav1_stormhit,uav1_goal,uav1_atgoal,uav1_goalsreached,uav1_score,uav2_moving,uav2_idle,uav2_fuel,uav2_patha_length,uav2_patha_stormchance,uav2_pathb_length,uav2_pathb_stormchance,uav2_onpath,uav2_stormhit,uav2_goal,uav2_atgoal,uav2_goalsreached,uav2_score,uav3_moving,uav3_idle,uav3_fuel,uav3_patha_length,uav3_patha_stormchance,uav3_pathb_length,uav3_pathb_stormchance,uav3_onpath,uav3_stormhit,uav3_goal,uav3_atgoal,uav3_goalsreached,uav3_score,uav4_moving,uav4_idle,uav4_fuel,uav4_patha_length,uav4_patha_stormchance,uav4_pathb_length,uav4_pathb_stormchance,uav4_onpath,uav4_stormhit,uav4_goal,uav4_atgoal,uav4_goalsreached,uav4_score,total_goals_reached,total_score,chat_auto,message,response,correct_answer,chat_rxn_time
0938e80b,3,1,12:18:06,Chat Msg,False,98,False,False,122,False,False,64,False,False,46,False,False,0,0,N/A,False,False,False,1000,217,0.01,251,0.0,NA,False,1,False,0,0,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,False,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,1000,203,0.64,216,0.95,NA,False,4,False,0,0,0,0,False,What is the fuel level of UAV RED?,N/A,,N/A
0938e80b,3,1,12:18:06,UAV Path A,False,98,False,False,122,False,False,64,False,False,46,False,False,0,0,N/A,False,True,False,1000,217,0.01,251,0.0,A,False,1,False,0,0,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,False,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,1000,203,0.64,216,0.95,NA,False,4,False,0,0,0,0,False,What is the fuel level of UAV RED?,N/A,,N/A
0938e80b,3,1,12:18:08,mtr_auto ON ,True,98,False,False,122,False,False,64,False,False,46,False,False,0,0,N/A,False,True,False,901.0,217,0.01,251,0.0,A,False,1,False,0,0,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,False,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,1000,203,0.64,216,0.95,NA,False,4,False,0,0,0,0,False,What is the fuel level of UAV RED?,N/A,,N/A
0938e80b,3,1,12:18:10,UAV at Goal,True,98,False,False,122,False,False,64,False,False,46,False,False,0,0,N/A,False,False,False,787.0,217,0.01,251,0.0,NA,False,1,True,1,10,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,False,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,1000,203,0.64,216,0.95,NA,False,4,False,0,0,1,10,False,What is the fuel level of UAV RED?,N/A,,N/A
0938e80b,3,1,12:18:10,Monitor OOB,True,98,False,False,170,True,False,64,False,False,46,False,False,1,0,N/A,False,False,False,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,False,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,1000,203,0.64,216,0.95,NA,False,4,False,0,0,1,10,False,What is the fuel level of UAV RED?,N/A,,N/A
0938e80b,3,1,12:18:10,Monitor OOB,True,98,False,False,155.8,True,False,64,False,False,17,True,False,2,0,N/A,False,False,False,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,False,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,1000,203,0.64,216,0.95,NA,False,4,False,0,0,1,10,False,What is the fuel level of UAV RED?,N/A,,N/A
0938e80b,3,1,12:18:10,Monitor OOB,True,98,False,False,158.9,True,False,155,True,False,45.1,True,False,3,0,N/A,False,False,False,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,False,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,1000,203,0.64,216,0.95,NA,False,4,False,0,0,1,10,False,What is the fuel level of UAV RED?,N/A,,N/A
0938e80b,3,1,12:18:11,UAV Path B,True,98,False,False,170,True,False,155,True,False,17,True,False,3,0,N/A,False,False,False,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,False,1000,261,0.53,302,0.08,NA,False,3,False,0,0,True,False,1000,203,0.64,216,0.95,B,True,4,False,0,0,1,10,False,What is the fuel level of UAV RED?,N/A,,N/A
0938e80b,3,1,12:18:11,Monitor OOB,True,10,True,False,170,True,False,155,True,False,17,True,False,4,0,N/A,False,False,False,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,False,1000,261,0.53,302,0.08,NA,False,3,False,0,0,True,False,992.0,203,0.64,216,0.95,B,True,4,False,0,0,1,10,False,What is the fuel level of UAV RED?,N/A,,N/A
0938e80b,3,1,12:18:13,Monitor Reset,True,10,True,False,120,False,True,155,True,False,17,True,False,4,1,2.958817,False,False,False,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,False,1000,261,0.53,302,0.08,NA,False,3,False,0,0,True,False,914.0,203,0.64,216,0.95,B,True,4,False,0,0,1,10,False,What is the fuel level of UAV RED?,N/A,,N/A
0938e80b,3,1,12:18:13,UAV Hit Storm,True,10,True,False,128.3,False,False,155,True,False,17,True,False,4,1,N/A,False,False,False,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,False,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,894.0,203,0.64,216,0.95,B,True,4,False,0,0,1,10,False,What is the fuel level of UAV RED?,N/A,,N/A
0938e80b,3,1,12:18:14,Monitor Reset,True,10,True,False,120,False,False,100,False,True,17,True,False,4,2,3.314682,False,False,False,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,False,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,894.0,203,0.64,216,0.95,B,True,4,False,0,0,1,10,False,What is the fuel level of UAV RED?,N/A,,N/A
0938e80b,3,1,12:18:14,UAV Idle,True,10,True,False,120,False,False,149.6,False,False,17,True,False,4,2,N/A,False,False,False,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,False,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,894.0,203,0.64,216,0.95,B,True,4,False,0,0,1,10,False,What is the fuel level of UAV RED?,N/A,,N/A
0938e80b,3,1,12:18:14,UAV Idle,True,10,True,False,120,False,False,149.6,False,False,17,True,False,4,2,N/A,False,False,False,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,True,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,894.0,203,0.64,216,0.95,B,True,4,False,0,0,1,10,False,What is the fuel level of UAV RED?,N/A,,N/A
0938e80b,3,1,12:18:14,Monitor Reset,True,10,True,False,120,False,False,100,False,False,60,False,True,4,3,3.985294,False,False,False,787.0,271,0.02,274,0.01,NA,False,HB,False,1,0,False,True,1000,217,0.85,225,0.95,NA,False,2,False,0,0,False,True,1000,261,0.53,302,0.08,NA,False,3,False,0,0,False,False,894.0,203,0.64,216,0.95,B,True,4,False,0,0,1,10,False,What is the fuel level of UAV RED?,N/A,,N/A
